"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,73000000,75,"","",75,"2021年","木造","","","東","公道",3.8,"１低住専",60,150,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",5,290000000,200,"","",285,"1994年","木造","","","南東","公道",5.4,"１低住専",60,150,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","西小山",15,84000000,65,"","",95,"2003年","木造","","","東","公道",10.7,"１種住居",60,200,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","都立大学",15,78000000,50,"","",80,"2010年","木造","","","北西","私道",4,"１低住専",60,150,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","平町","都立大学",10,120000000,110,"","",110,"1994年","木造","","","南","公道",6,"１低住専",60,100,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",5,110000000,65,"","",115,"2007年","木造","","","北西","私道",3.3,"近隣商業",80,200,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","都立大学",10,210000000,135,"","",150,"1966年","ＲＣ","","","北西","公道",5.9,"２種住居",60,300,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","祐天寺",15,88000000,90,"","",160,"1988年","木造","","","南西","公道",4,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",20,68000000,65,"","",95,"2005年","木造","","","北","公道",4,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","自由が丘","自由が丘(東京)",10,95000000,65,"","",110,"2001年","木造","","","北","私道",3.5,"１低住専",60,150,"2022年第1四半期",""
